1059.5019,1138.0822,1240.1443,1360.3312,1498.6799,1661.3712,1841.3692,2039.9567,
2260.3768,2500.2011,2759.785,3040.8357,3339.3226,3662.5137,3999.843,4360.1312,4741.2283,
5140.0683,5559.8899,5999.0416,6460.339,6938.4615,7440.8225,7961.8694,8499.2035,9060.9879,
9641.4439,10238.165,10858.3409,11500.6576,12159.5396,12840.7945,13540.9391,14260.8197,
15001.4856,15760.7698,16541.3711,17338.6155,18159.9772,18999.8196,19858.153,20740.2963,
21638.7836,22561.6294,23499.073,24460.6088,25440.2525,26438.9385,27457.5007,28499.9319,
29558.8363,30640.7075,31740.5846,32861.9487,34000.6808,35159.259,36340.4379,37538.8381,
38759.9775,39999.9445,41260,42539.634,43841.2608,45157.8423,46500.493,47861.0312,49240.8416,
50640.6653,52060.0464,53500.7796,54960.655,56439.7056,57939.5654,59459.6593,60998.3015,
62559.7306,64140.1364,65740.3625,67361.6621,68999.5959,70660.7176,72340.92,74041.0833,
75758.8577,77500.2441,79260.2739,81038.8397,82839.1456,84661.2462,86499.8486,88360.4489,
90240.1013,92139.2683,94059.3557,96000.5108,97958.9063,99940.8995,101940.6551,103959.0539,
105999.6942
